time,x1,y1,v1,r1,x2,y2,v2,r2,x3,y3,v3,r3
1716558475.268332,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.357423,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.446459,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.535510,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.624703,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.713297,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.802358,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.891086,0,0,0,0,0,0,0,0,0,0,0,0
1716558475.980504,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.069289,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.158504,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.247269,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.336412,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.425424,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.514359,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.603315,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.692439,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.781194,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.870270,0,0,0,0,0,0,0,0,0,0,0,0
1716558476.959151,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.048216,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.137152,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.226271,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.315217,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.404319,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.493356,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.582232,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.671338,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.760115,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.849306,0,0,0,0,0,0,0,0,0,0,0,0
1716558477.938267,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.027150,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.116325,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.205209,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.293950,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.382937,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.472044,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.561068,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.650116,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.739051,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.828029,0,0,0,0,0,0,0,0,0,0,0,0
1716558478.917183,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.005992,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.095177,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.184107,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.272921,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.362004,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.451065,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.539891,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.628927,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.717935,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.806865,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.895923,0,0,0,0,0,0,0,0,0,0,0,0
1716558479.984976,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.073815,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.162832,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.251938,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.340756,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.429904,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.518776,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.607691,0,0,0,0,0,0,0,0,0,0,0,0
